run,id,frames,window_s,fps,build_avg_ms,build_p50_ms,build_p90_ms,build_p99_ms,raster_avg_ms,raster_p50_ms,raster_p90_ms,raster_p99_ms,span_p50_ms,span_p99_ms,jank_pct,headroom,vsync_budget_ms,dpr,logical_w,logical_h,physical_mpx,ns_per_px,notes
0,prod.fur.child_text,357,2.94,121.3,0.681,0.564,0.982,2.090,1.661,1.607,2.159,4.029,2.754,7.172,0.3,0.741,8.33,2.00,480,640,1.229,1307.78,"sparse child: isolates the unconditional 5-taps/step floor"
0,prod.fur.child_rect,358,2.94,121.2,0.716,0.607,1.005,2.564,1.685,1.648,2.164,2.992,2.804,7.860,0.0,0.740,8.33,2.00,480,640,1.229,1341.15,"full-density child: no early-continue, full lighting per step"
0,prod.fur.clicks5,342,2.80,121.8,0.601,0.485,0.732,2.731,1.273,1.215,1.534,3.829,2.159,8.204,0.3,0.816,8.33,2.00,480,640,1.229,988.77,"5 deterministic mid-life clicks (wavelet worst case)"
0,prod.fur.clicks1,352,2.94,119.5,0.687,0.569,0.983,2.729,1.665,1.573,2.077,4.444,2.644,8.500,0.6,0.751,8.33,2.00,480,640,1.229,1280.11,"1 deterministic mid-life click (wavelet path ON)"
0,prod.fur.full,346,3.79,90.9,0.555,0.486,0.728,1.706,9.143,5.092,18.937,28.222,14.492,32.332,64.5,-1.272,8.33,2.00,800,1042,3.334,1527.11,"fill-rate scaling: full window"
0,prod.fur.256,345,2.77,124.1,0.797,0.655,1.264,2.494,1.413,1.274,1.886,3.783,2.514,11.221,0.6,0.774,8.33,2.00,256,256,0.262,4859.92,"fill-rate scaling: small"
0,prod.fur.480,355,2.92,121.3,0.752,0.578,1.157,2.934,1.648,1.617,2.065,3.946,2.779,7.011,0.3,0.752,8.33,2.00,480,640,1.229,1315.92,"defaults, clicks=0 (wavelets gated OFF), circle child"
0,prod.iliq.x9,354,2.91,121.4,0.793,0.648,1.202,3.546,0.998,0.906,1.329,2.364,1.952,6.888,0.3,0.841,8.33,2.00,480,640,1.229,737.30,"3x3 grid of independent instances"
0,prod.iliq.full,355,2.90,122.1,0.446,0.391,0.572,1.132,0.707,0.619,1.009,2.023,1.348,5.425,0.0,0.879,8.33,2.00,800,1042,3.334,185.64,"fill-rate scaling: full window"
0,prod.iliq.480,354,2.91,121.2,0.690,0.524,0.875,3.497,0.913,0.880,1.198,2.112,1.783,6.919,0.6,0.856,8.33,2.00,480,640,1.229,716.15,"defaults"
0,prod.iwrap.x9,347,2.84,121.9,1.126,0.981,1.632,4.025,2.410,2.351,3.213,4.977,4.159,8.116,0.0,0.614,8.33,2.00,480,640,1.229,1913.25,"3x3 grid of independent instances (gallery scenario)"
0,prod.iwrap.child_text,344,2.82,121.6,0.723,0.615,1.016,2.649,1.714,1.635,2.135,4.932,2.896,7.586,0.0,0.744,8.33,2.00,480,640,1.229,1330.57,"sparse glyph child: most pixels exit early (best case)"
0,prod.iwrap.child_rect,340,2.81,120.5,0.616,0.479,0.869,3.946,1.353,1.293,1.760,3.377,2.210,7.422,0.3,0.789,8.33,2.00,480,640,1.229,1052.25,"full-coverage child: interior rays never exit (worst case)"
0,prod.iwrap.edgeband48,346,2.84,121.6,0.780,0.623,1.173,4.005,1.723,1.667,2.248,4.094,2.867,8.066,0.3,0.730,8.33,2.00,480,640,1.229,1356.61,"edgeBandPx=48: larger raycast search radius"
0,prod.iwrap.contour1,356,2.93,121.2,0.697,0.594,0.931,2.605,1.627,1.607,2.029,3.572,2.732,7.435,0.0,0.757,8.33,2.00,480,640,1.229,1307.78,"contour=1: confirms cost is gate-shaped, not magnitude-shaped"
0,prod.iwrap.contour0,343,2.83,121.0,0.722,0.636,1.102,2.299,1.716,1.646,2.101,3.040,2.811,6.481,0.3,0.748,8.33,2.00,480,640,1.229,1339.52,"contour=0: whole edge-distance raycast gated OFF"
0,prod.iwrap.full,355,4.07,87.0,0.570,0.493,0.769,2.123,10.010,7.075,19.763,29.893,16.198,31.744,76.1,-1.372,8.33,2.00,800,1042,3.334,2121.82,"fill-rate scaling: full window"
